ID,nom_plante,chemin,date,latitude,longitude
0,Plante 77,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0001.jpg,28/11/2011,-30.791844274009243,-26.566130687688286
3,Plante 23,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0004.jpg,13/5/2020,-30.184192530811572,60.6526887780833
4,Plante 50,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0005.jpg,26/7/2008,-89.98330615997068,-34.98111123504981
5,Plante 48,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0006.jpg,9/10/2001,6.307757526067789,94.25764811012425
6,Plante 83,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0007.jpg,11/5/2000,19.119604799105716,-141.16446846586072
7,Plante 100,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0008.jpg,24/7/2013,60.66316593853523,159.21991207207526
8,Plante 2,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0009.jpg,13/2/2005,65.79714283893983,-162.60033475394573
9,Plante 64,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0010.jpg,29/7/2014,-38.241392595847934,-158.48244578154228
10,Plante 24,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0011.jpg,3/11/2018,-59.958871074560214,117.16340668912835
11,Plante 90,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0012.jpg,9/9/2020,-3.2664645705354474,72.43418186578873
12,Plante 99,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0013.jpg,17/1/2018,37.70395704866044,-60.48563490418451
13,Plante 35,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0014.jpg,21/9/2010,14.612928049056265,161.1374511387712
14,Plante 82,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0015.jpg,16/3/2005,-37.84543258420365,-120.32076688557592
15,Plante 11,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0016.jpg,7/10/2018,30.31883895726604,111.29874589246174
16,Plante 8,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0017.jpg,13/8/2018,48.11846597433427,-170.85063707188175
17,Plante 4,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0018.jpg,14/1/2020,-49.86319353905765,-75.89218891674619
18,Plante 96,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0019.jpg,29/3/2006,29.195833744789937,-94.08216381461679
19,Plante 97,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0020.jpg,23/4/2002,46.84484783239381,48.47075770760617
20,Plante 66,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0021.jpg,19/6/2015,30.029135109576472,41.99143407188657
21,Plante 94,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0022.jpg,17/4/2004,-26.000624238982972,63.40246424835024
22,Plante 13,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0023.jpg,29/7/2005,59.76632675069499,-48.86207967158401
23,Plante 96,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0024.jpg,1/9/2017,71.40811527149359,-65.49566729144415
24,Plante 56,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0025.jpg,10/12/2007,-6.391160689785366,-106.97230482891258
25,Plante 80,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0026.jpg,13/9/2016,-50.713851543342656,-113.29397279235515
26,Plante 3,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0027.jpg,19/11/2002,51.36531715109521,-154.80264570920562
27,Plante 44,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0028.jpg,25/5/2004,23.63478124629269,-138.09115429814872
28,Plante 40,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0029.jpg,9/6/2020,-7.955941843055456,-14.692115168168328
29,Plante 6,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0030.jpg,28/4/2003,7.740096328097863,-4.4142215540705365
30,Plante 97,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0031.jpg,17/8/2013,52.94232394727453,-121.33331648921127
31,Plante 6,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0032.jpg,20/11/2020,84.36455033989805,61.80910206221873
32,Plante 35,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0033.jpg,23/11/2016,73.68026070098409,-148.20842747448305
33,Plante 10,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0034.jpg,26/11/2003,-82.46191822501197,169.6263053926844
34,Plante 74,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0035.jpg,16/10/2014,-46.544889619145174,156.28762951302667
35,Plante 53,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0036.jpg,29/8/2003,-34.35784546482715,19.833843854259413
36,Plante 18,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0037.jpg,10/2/2011,66.74103581910475,-18.598827709748036
37,Plante 37,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0038.jpg,9/9/2007,-66.04917169811716,-139.4298025986933
38,Plante 85,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0039.jpg,23/1/2016,59.34630591325876,-157.22542089698433
39,Plante 18,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0040.jpg,12/11/2019,-41.97173581961424,175.69245125772773
40,Plante 94,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0041.jpg,20/4/2005,-66.89997069656468,-131.30176485691544
41,Plante 45,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0042.jpg,1/10/2002,60.30927759986474,141.78673268503962
42,Plante 51,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0043.jpg,20/3/2019,-40.23371528456868,144.35247081844216
43,Plante 47,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0044.jpg,30/6/2016,2.7230929411828697,13.169333666105132
44,Plante 1,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0045.jpg,11/1/2018,-2.7183203198497807,-140.31472628266053
45,Plante 65,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0046.jpg,7/12/2002,63.84440156646352,-17.212705394481645
46,Plante 11,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0047.jpg,11/1/2002,-31.04173159179888,30.00159156055153
47,Plante 77,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0048.jpg,10/3/2011,-64.35120367213318,-167.8156076531771
48,Plante 42,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0049.jpg,26/1/2012,-20.735643120719644,46.858923738902945
49,Plante 65,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0050.jpg,30/6/2009,-29.301361853507927,36.52426923774601
50,Plante 78,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0051.jpg,9/2/2014,83.77949477407302,90.4502265112335
51,Plante 52,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0052.jpg,16/3/2007,26.195074062937024,-43.0977018899022
52,Plante 58,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0053.jpg,18/12/2012,64.34187763797115,118.67407042010205
53,Plante 48,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0054.jpg,24/8/2001,8.752389196939433,-17.639784279662308
54,Plante 45,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0055.jpg,28/8/2015,39.12981083968151,-26.73939182006569
55,Plante 9,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0056.jpg,28/9/2019,10.239168691136413,-129.47638711194259
56,Plante 49,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0057.jpg,23/12/2007,17.990731975619354,-162.10729627522096
57,Plante 35,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0058.jpg,26/12/2010,29.432616902412704,-123.64733726472387
58,Plante 99,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0059.jpg,19/11/2000,-28.587985631900587,55.493841568962665
59,Plante 39,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0060.jpg,26/12/2007,-6.386715488803418,106.72057816460563
60,Plante 42,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0061.jpg,2/10/2008,59.68471586487124,-69.6377292742448
61,Plante 8,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0062.jpg,2/7/2004,36.134923129178574,62.920362260900276
62,Plante 97,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0063.jpg,22/10/2017,-70.676530992523,-100.66555513785704
63,Plante 16,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0064.jpg,2/1/2012,-84.61258944891821,6.490071724071441
64,Plante 74,https://riidley.github.io/DataVizHAMSEK/Projet/data/jpg\image_0065.jpg,16/9/2007,-6.906364687163247,90.3774940284253
